TRAINEE TRIAL NECKFLEX EXTOA PROPLGSP PROPLIFT ASKASSIS HELP COMPS SUCCESS TRHAND TRGEND TRIALCAT
1  1  1  1  0  0  0  0  0  0 1 0 1
1  2  1  1  0  0  0  0  1  0 1 0 1
1  3  1  0  1  0  0  0  1  0 1 0 1
1  4  1  0  1  0  0  0  0  0 1 0 1
1  5  1  1  1  0  0  0  1  0 1 0 1
1  6  1  0  0  1  0  0  1  0 1 0 2
1  7  1  1  0  0  1  0  1  0 1 0 2
1  9  1  1  0  0  1  1  0  0 1 0 2
1 10  1  1  0  0  0  0  1  0 1 0 2
1 11  1  1  1  1  0  0  1  0 1 0 2
1 12  1  1  0  0  1  0  0  1 1 0 3
1 13  1  1  0  0  1  1  1  0 1 0 3
1 14  0  1  1  0  0  0  0  0 1 0 3
1 15  1  1  0  0  1  0  1  0 1 0 3
1 16  1  1  0  0  1  1  1  0 1 0 3
1 17  1  1  0  0  1  0  1  0 1 0 4
1 18  1  1  1  1  0  0  1  0 1 0 4
1 19  1  1  0  0  0  0  1  0 1 0 4
1 20  1  1  0  0  0  0  0  0 1 0 4
1 21  1  1  0  0  0  0  1  0 1 0 4
1 22  1  1  0  0  1  0  1  0 1 0 5
2  1  1  1  1  1  0  1  1  1 1 1 1
2  2  0  1  0  0  0  0  1  0 1 1 1
2  3  1  1  0  0  0  1  1  0 1 1 1
2  4  1  1  0  0  0  0  0  0 1 1 1
2  5  1  1  1  0  0  0  1  1 1 1 1
2  6  1  1  0  0  1  1  0  0 1 1 2
2  7  0  0  0  0  0  0  0  0 1 1 2
2  8  1  1  1  1  0  0  0  0 1 1 2
2  9  1  1  1  1  0  1  1  0 1 1 2
2 10  1  1  0  1  0  0  0  1 1 1 2
2 11  1  1  0  0  0  0  0  0 1 1 3
2 12  1  1  1  0  0  1  1  0 1 1 3
2 13  1  1  1  1  0  1  1  1 1 1 3
2 14  1  1  1  1  0  1  1  1 1 1 3
2 15  1  1  0  0  0  1  0  1 1 1 3
2 16  1  1  0  0  1  1  1  0 1 1 4
2 17  1  1  1  1  0  1  1  1 1 1 4
2 18  1  1  0  0  0  0  0  0 1 1 4
3  1  1  1  0  0  0  1  0  0 1 1 1
3  2  1  0  0  0  0  0  0  0 1 1 1
3  3  1  1  0  0  0  0  1  0 1 1 1
3  4  1  1  0  0  0  0  0  0 1 1 1
3  5  1  1  0  0  0  0  1  0 1 1 1
3  6  1  1  0  0  0  1  1  0 1 1 2
3  7  1  1  1  1  0  1  1  0 1 1 2
3  8  1  1  0  1  0  0  1  0 1 1 2
3  9  1  1  1  1  0  1  1  0 1 1 2
3 10  1  1  1  0  0  1  1  0 1 1 2
3 11  0  1  1  1  0  0  1  0 1 1 3
3 12  1  1  1  1  0  1  1  0 1 1 3
3 13  1  1  1  1  0  1  1  1 1 1 3
3 14  1  1  1  0  0  0  1  0 1 1 3
3 15  1  1  0  0  0  1  1  0 1 1 3
3 16 NA NA NA NA NA NA NA NA 1 1 4
3 17  1  1  0  1  0  1  1  1 1 1 4
3 18  1  1  1  1  0  1  1  1 1 1 4
3 19  1  1  1  0  0  0  1  0 1 1 4
3 20  1  1  1  1  0  0  1  0 1 1 4
3 21  1  1  0  1  0  1  1  1 1 1 5
3 22  1  1  0  0  0  0  0  0 1 1 5
3 23  1  1  0  1  0  1  1  0 1 1 5
3 24  1  1  1  1  0  1  1  1 1 1 5
3 25  1  1  1  1  0  1  1  1 1 1 5
4  1  1  1  0  0  0  0  1  0 1 1 1
4  2  1  1  0  0  0  1  1  0 1 1 1
4  3  1  1  1  1  0  0  1  0 1 1 1
4  4  1  1  1  1  0  1  1  0 1 1 1
4  5  1  1  1  1  0  1  1  0 1 1 1
4  6  1  1  1  0  0  0  1  0 1 1 2
4  7  1  1  0  1  0  1  1  0 1 1 2
4  8  1  1  0  1  0  1  1  0 1 1 2
4  9  1  1  1  1  0  0  1  0 1 1 2
4 10  1  1  0  0  0  0  1  0 1 1 2
4 11  1  1  1  1  0  1  1  1 1 1 3
4 12  1  1  1  1  0  1  1  1 1 1 3
4 13  1  1  1  1  0  0  1  0 1 1 3
4 14  1  1  0  1  0  1  1  0 1 1 3
4 15  1  1  0  0  0  0  0  0 1 1 3
4 16  1  1  1  1  0  0  1  0 1 1 4
4 17  1  1  1  1  0  1  1  0 1 1 4
4 18  1  1  0  0  0  0  1  0 1 1 4
4 19  1  1  1  1  1  0  0  0 1 1 4
4 20  1  1  0  1  0  0  1  0 1 1 4
4 21  1  1  0  0  0  1  1  0 1 1 5
4 22  1  1  0  1  0  0  1  0 1 1 5
4 23  1  1  1  1  0  1  1  1 1 1 5
4 24  1  1  1  1  0  0  1  0 1 1 5
4 25  1  1  1  1  0  1  1  1 1 1 5
4 26 NA NA NA NA NA NA NA  0 1 1 6
4 27  1  1  1  1  1  0  1  0 1 1 6
4 28  1  1  1  1  1  1  1  1 1 1 6
5  1  1  1  1  0  0  0  0  0 0 1 1
5  2  1  1  1  1  0  1  1  0 0 1 1
5  3  1  1  1  0  0  1  1  0 0 1 1
5  4  1  1  1  0  0  0  1  0 0 1 1
5  5  1  1  1  1  0  1  1  0 0 1 1
5  6  0  0  1  1  1  1  1  0 0 1 2
5  7  1  1  1  1  0  1  0  1 0 1 2
5  8  1  1  1  1  0  1  1  1 0 1 2
5  9  1  1  0  0  1  0  1  0 0 1 2
5 10  1  1  1  0  0  1  1  0 0 1 2
5 11  1  1  1  0  0  1  1  0 0 1 3
5 12  1  1  1  1  0  1  1  1 0 1 3
5 13  1  1  1  1  0  1  1  0 0 1 3
5 14  1  1  1  1  0  1  1  1 0 1 3
5 15  1  1  1  1  0  1  1  1 0 1 3
5 16  1  1  0  0  0  0  0  0 0 1 4
5 17  1  1  1  1  0  1  1  0 0 1 4
5 18  1  1  1  1  0  1  1  1 0 1 4
5 19  1  1  1  1  1  1  1  0 0 1 4
5 20  1  1  0  1  0  0  1  0 0 1 4
5 21  1  1  0  0  0  1  1  0 0 1 5
5 22  1  1  0  0  0  0  1  0 0 1 5
6  1  1  1  1  0  1  1  1  1 1 1 1
6  2  1  1  0  0  0  0  1  0 1 1 1
6  3  1  1  0  0  0  1  1  0 1 1 1
6  4  1  1  1  1  0  1  1  0 1 1 1
6  5  1  1  0  0  0  1  1  0 1 1 1
6  6  1  1  0  1  0  1  1  0 1 1 2
6  7  1  1  1  0  0  1  1  1 1 1 2
6  8  1  1  1  1  0  0  1  1 1 1 2
6  9  1  1  1  0  0  1  1  1 1 1 2
6 10  1  1  0  1  0  0  1  0 1 1 2
6 11  1  1  1  1  0  1  1  0 1 1 3
6 12  1  1  1  0  0  0  1  0 1 1 3
6 13  1  1  1  1  0  1  1  1 1 1 3
6 14  1  1  1  0  0  0  1  0 1 1 3
6 15  1  1  1  0  0  0  0  0 1 1 3
6 16  1  1  1  0  0  0  0  0 1 1 4
6 17  1  1  1  0  0  0  1  0 1 1 4
6 18  1  1  1  1  0  0  0  0 1 1 4
6 19  1  1  1  0  0  1  1  0 1 1 4
6 20 NA NA NA NA NA NA NA NA 1 1 4
6 21  1  1  1  0  0  1  1  1 1 1 5
6 22  1  1  1  0  0  1  1  0 1 1 5
7  1  1  1  1  1  0  1  1  1 1 0 1
7  2 NA NA NA NA NA NA NA  0 1 0 1
7  3  1  1  1  0  0  1  1  0 1 0 1
7  5  1  1  1  1  0  1  1  1 1 0 1
7  6  1  1  0  0  0  0  1  0 1 0 1
7  7  1  1  1  1  0  1  1  1 1 0 2
7  8  1  1  1  1  0  1  1  1 1 0 2
7  9  1  1  1  0  0  0  1  0 1 0 2
7 10  1  1  0  0  0  0  1  0 1 0 2
7 11  1  1  1  0  0  1  1  0 1 0 2
7 12  1  1  1  1  0  1  1  1 1 0 3
7 13  1  1  1  0  0  0  1  0 1 0 3
7 14  1  1  1  1  0  1  1  1 1 0 3
7 15  1  1  1  1  1  1  1  0 1 0 3
7 16  1  1  0  0  0  0  1  0 1 0 3
7 17  1  1  1  1  1  0  1  0 1 0 4
7 18  1  1  1  1  1  1  0  0 1 0 4
7 19  1  1  1  1  0  1  1  1 1 0 4
7 20  1  1  1  1  0  1  1  1 1 0 4
7 21  1  1  1  1  1  1  1  0 1 0 4
7 22  1  1  1  1  0  0  1  1 1 0 5
7 23  1  1  1  0  0  1  1  0 1 0 5
7 24  1  1  1  1  0  0  1  1 1 0 5
8  1  1  1  1  1  0  1  1  0 1 0 1
8  2  1  1  1  0  0  0  1  0 1 0 1
8  3  1  1  1  1  0  0  1  0 1 0 1
8  4  1  1  0  0  0  0  0  0 1 0 1
8  5  1  1  0  0  0  0  1  0 1 0 1
8  6  1  1  1  0  0  1  1  0 1 0 2
8  7  1  1  0  0  0  0  0  0 1 0 2
8  8  1  1  1  1  0  1  1  1 1 0 2
8  9  1  1  0  1  0  0  1  0 1 0 2
8 10  1  1  1  0  1  0  0  0 1 0 2
8 11  1  1  0  1  0  1  1  0 1 0 3
8 12  1  1  0  0  1  1  1  0 1 0 3
8 13  1  1  0  1  0  0  1  0 1 0 3
8 14  1  1  1  0  0  0  0  0 1 0 3
8 15  1  1  1  1  1  0  1  0 1 0 3
8 16  1  1  1  0  0  0  1  0 1 0 4
8 17  1  1  1  1  1  0  1  1 1 0 4
8 18  1  1  1  0  1  1  1  0 1 0 4
9  1 NA NA NA NA NA NA NA  0 1 1 1
9  2  1  1  0  0  0  0  0  0 1 1 1
9  3  1  1  1  1  0  1  1  1 1 1 1
9  4  0  1  0  0  0  0  1  0 1 1 1
9  5  1  1  1  1  1  1  1  0 1 1 1
9  6  1  1  0  0  0  0  1  0 1 1 2
9  7  1  1  1  1  0  1  1  0 1 1 2
9  8  1  1  0  0  0  0  1  0 1 1 2
9  9  1  1  0  0  1  0  1  0 1 1 2
9 11  1  1  0  1  0  0  1  0 1 1 3
9 12  1  1  1  1  0  1  1  1 1 1 3
9 13  1  1  0  1  0  0  1  0 1 1 3
9 14  1  1  1  1  0  1  1  1 1 1 3
9 15  1  1  0  1  0  1  1  1 1 1 3
9 16  1  1  0  0  0  0  0  0 1 1 4
9 17  1  1  1  1  0  0  0  0 1 1 4
9 18  1  1  0  1  0  0  1  1 1 1 4
9 19  1  1  1  0  0  0  1  1 1 1 4
9 20  1  1  1  1  1  0  1  1 1 1 4
9 21  1  1  0  0  0  0  1  0 1 1 5
9 22  1  1  1  1  1  1  1  1 1 1 5
9 23  1  1  0  0  1  0  0  0 1 1 5
9 24  1  1  1  1  0  1  1  1 1 1 5
9 25  1  1  1  1  0  0  0  0 1 1 5
9 26  1  1  1  1  1  1  1  1 1 1 6
9 27  1  1  1  1  0  1  1  1 1 1 6
9 28  1  1  1  1  0  1  1  1 1 1 6
9 29  1  1  0  0  0  1  1  0 1 1 6
9 30  1  1  0  0  0  0  0  0 1 1 6
9 31  1  1  1  1  0  1  1  0 1 1 7
9 32  1  1  1  1  1  1  1  1 1 1 7
9 33  1  1  1  1  1  1  1  1 1 1 7
9 34  1  1  1  1  0  1  1  1 1 1 7
9 35  1  1  1  1  0  1  1  1 1 1 7
10  1  1  1  0  0  1  0  0  0 1 0 1
10  2  1  1  0  0  1  1  1  0 1 0 1
10  3  1  1  0  0  0  0  0  0 1 0 1
10  4  1  1  0  0  1  0  1  0 1 0 1
10  5  1  1  1  1  1  1  0  0 1 0 1
10  6  1  1  0  0  1  0  1  0 1 0 2
10  7  1  1  0  0  0  0  0  0 1 0 2
10  8  1  1  0  1  1  0  1  0 1 0 2
10  9  1  1  0  1  1  1  1  0 1 0 2
10 11  1  1  0  1  1  1  1  0 1 0 2
10 12  1  1  1  1  1  0  0  0 1 0 3
10 13  1  1  0  0  1  0  1  0 1 0 3
10 14  1  1  0  0  0  0  0  0 1 0 3
10 15  1  1  1  1  1  1  1  0 1 0 3
10 16  1  1  1  1  1  1  1  1 1 0 3
10 17  1  1  1  1  0  1  1  0 1 0 4
10 18  1  1  0  1  1  1  1  0 1 0 4
10 19  1  1  1  1  1  1  1  0 1 0 4
10 20  1  1  0  0  1  1  1  0 1 0 4
10 21  1  1  0  1  0  0  1  1 1 0 4
10 22  1  1  1  1  1  1  1  0 1 0 5
10 23  1  1  0  1  1  0  1  0 1 0 5
10 24  1  1  0  0  0  0  1  0 1 0 5
11  1  1  1  1  0  0  0  0  0 0 1 1
11  2  1  1  1  1  0  0  0  0 0 1 1
11  3  1  1  1  1  1  1  1  0 0 1 1
11  4  1  1  1  1  0  0  0  1 0 1 1
11  5  1  1  1  1  0  1  0  0 0 1 1
11  6  0  1  0  0  1  0  1  0 0 1 2
11  7  1  1  1  1  0  1  1  1 0 1 2
11  8  0  1  0  0  1  1  1  0 0 1 2
11  9  1  1  1  1  0  1  1  1 0 1 2
11 10  1  1  1  1  0  1  0  0 0 1 2
11 11  1  1  1  1  0  1  1  1 0 1 3
11 12  1  1  1  1  0  1  1  1 0 1 3
11 13  1  1  1  1  1  1  1  0 0 1 3
11 14  1  1  0  1  1  0  0  1 0 1 3
11 15  1  1  1  1  1  1  1  1 0 1 3
11 16  1  1  0  0  0  1  0  0 0 1 4
11 17  1  1  1  1  0  1  1  1 0 1 4
11 18  1  1  1  1  0  0  1  1 0 1 4
11 19  1  1  0  0  1  1  0  0 0 1 4
11 20  1  1  0  1  0  0  1  0 0 1 4
11 21  1  1  1  1  0  1  1  1 0 1 5
11 22  1  1  1  1  0  0  1  1 0 1 5
11 23  1  1  0  1  0  1  1  0 0 1 5
11 24  1  1  1  0  1  1  1  0 0 1 5
11 25  1  1  1  1  1  1  1  1 0 1 5
12  1  1  1  0  0  0  0  1  0 1 1 1
12  2  1  1  1  0  0  0  1  0 1 1 1
12  3  1  0  1  1  0  0  1  1 1 1 1
12  4  1  1  0  1  0  1  0  0 1 1 1
12  5  1  1  1  0  0  1  1  0 1 1 1
12  6  1  1  1  0  0  1  1  1 1 1 2
12  7  1  1  1  1  0  1  1  0 1 1 2
12  8  1  1  1  1  0  1  1  1 1 1 2
12  9  1  1  0  1  0  1  1  0 1 1 2
12 10  1  1  1  1  0  1  1  1 1 1 2
12 11  1  1  1  1  0  1  1  0 1 1 3
12 12  0  1  0  0  1  0  1  0 1 1 3
