Mare Time follicles 
1 -0.13636360 20
1 -0.09090910 15
1 -0.04545455 19
1  0.00000000 16
1  0.04545455 13
1  0.09090910 10
1  0.13636360 12
1  0.18181820 14
1  0.22727270 13
1  0.27272730 20
1  0.31818180 22
1  0.36363640 15
1  0.40909090 18
1  0.45454550 17
1  0.50000000 14
1  0.54545450 18
1  0.59090910 14
1  0.63636360 16
1  0.68181820 17
1  0.72727270 18
1  0.77272730 18
1  0.81818180 17
1  0.86363640 14
1  0.90909090 12
1  0.95454550 12
1  1.00000000 14
1  1.04545500 10
1  1.09090900 11
1  1.13636400 16
2 -0.15000000  6
2 -0.10000000  6
2 -0.05000000  8
2  0.00000000  7
2  0.05000000 16
2  0.10000000 10
2  0.15000000 13
2  0.20000000  9
2  0.25000000  7
2  0.30000000  6
2  0.35000000  8
2  0.40000000  8
2  0.45000000  6
2  0.50000000  8
2  0.55000000  7
2  0.60000000  9
2  0.65000000  6
2  0.70000000  4
2  0.75000000  5
2  0.80000000  8
2  0.85000000 11
2  0.90000000 13
2  0.95000000 10
2  1.00000000  6
2  1.05000000  7
2  1.10000000  6
2  1.15000000  5
3 -0.15789470 13
3 -0.10526320 11
3 -0.05263158 10
3  0.00000000  6
3  0.05263158  8
3  0.10526320  6
3  0.15789470  9
3  0.21052630  9
3  0.26315790 10
3  0.31578950  8
3  0.36842110 14
3  0.42105260 13
3  0.47368420 14
3  0.52631580 16
3  0.57894740 20
3  0.63157900 21
3  0.68421050 25
3  0.73684210 23
3  0.78947370 19
3  0.84210530 22
3  0.89473680 16
3  0.94736840 21
3  1.00000000 19
3  1.05263200 20
3  1.10526300 17
3  1.15789500 24
4 -0.13636360  9
4 -0.09090910  9
4 -0.04545455  7
4  0.00000000  6
4  0.04545455  7
4  0.09090910  6
4  0.13636360  1
4  0.18181820  1
4  0.22727270  1
4  0.27272730  5
4  0.31818180  6
4  0.36363640  3
4  0.40909090  5
4  0.45454550  3
4  0.50000000  6
4  0.54545450  8
